"country_name","country_code","variant","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",2535814.028,2771756.195,3032689.231,3339022.729,3699956.083,4078422.166,4457705.398,4873013.814,5330098.796,5750564.754,6144050.675,6541155.959,6957136.392,7381949.032,7796451.89704881,8186969.82706738,8555542.73656407,8901708.16589393,9230371.04237817,9539529.42234019,9826446.6360814,10096152.4949958,10344122.2962636,10589946.6164209,10836382.8769783,11069878.7539644,11323326.9650289,11577919.6821349,11853726.0390271,12142234.7360132,12434907.4788777
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7765160.48093941,8119196.12298135,8450499.1152822,8754925.11641424,9026471.97791595,9272643.83805559,9484354.78953998,9664883.47436097,9834576.95797095,9986749.42098591,10125950.6531591,10250986.2640314,10364102.369793,10485415.0204731,10584299.6172133,10701093.1906723,10804287.702649
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7828338.49707748,8255388.64238556,8669384.47530099,9064501.82983642,9458582.08124731,9835406.86033309,10206452.2216895,10579144.0580291,10958065.5200854,11331600.8561257,11706078.2009821,12083777.3764176,12493187.9606597,12930793.3865138,13406363.1384658,13900378.1689093,14486050.0569794
"AFRICA",903,"median",228665.039,253990.141,285137.224,322465.997,366454.02,417892.892,480006.857,552790.682,634561.549,722916.667,817560.881,924753.409,1049442.188,1194365.829,1352446.55385165,1520921.76443825,1700330.53989001,1891796.37394828,2092342.11406325,2301496.47212415,2512549.42514931,2729132.96851458,2947045.7188595,3161922.038977,3383090.57133695,3596808.12992302,3811516.51055834,4015879.48640099,4216474.78404265,4414260.59685151,4606784.51401138
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1346671.51906111,1507613.95000194,1675645.836168,1850003.70440951,2028637.67788176,2209162.942379,2387124.8766596,2567301.13082907,2743654.55322327,2914297.85628321,3075339.41493969,3235421.81256801,3390676.93243333,3531305.73735836,3661271.78423128,3780383.58106887,3894309.16015911
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1357967.26014759,1535131.04225712,1726374.60003563,1932143.98339751,2153044.41017882,2388283.15602964,2632264.66468776,2894160.12057508,3162656.61068433,3439527.68061486,3729809.85657458,4032025.70987636,4327038.21281094,4650768.91740174,4956362.35457942,5290881.87229231,5618015.46608945
"LATIN AMERICA AND THE CARIBBEAN",904,"median",168772.049,193069.122,220886.699,253207.405,287899.654,325081.007,364086.289,404850.955,445691.814,486614.695,525533.607,561371.122,597249.237,632042.999,664292.298002083,693227.386942576,718614.443217559,740276.5991019,758069.479467141,772795.843120229,783649.221918736,792045.039163521,796673.101469186,798918.846994431,799586.503776509,800101.971325637,798478.139382041,797683.834981567,796268.843046898,795394.594487652,798524.587442008
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,660002.813733857,684411.056238867,703798.726533464,717621.722762366,727384.7521039,734078.775126966,736159.661680161,733908.463328832,727747.06272078,719176.355207233,706606.889206176,692788.859877631,677597.999358222,663346.186668364,647297.901155861,630299.676471121,610070.587497325
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,668389.372290492,702525.815191942,734096.792016817,762152.91473291,787795.788172781,811891.449759059,834296.196916915,855047.067242708,875498.914611064,894082.398332194,915348.328565172,933567.010873279,953996.227709787,975899.570227127,1004622.43039428,1032137.53205396,1068808.5629278
"NORTHERN AMERICA",905,"median",172537.795,187522.205,204725.457,219519.433,231040.884,242361.5,254300.479,266698.075,280222.626,294988.923,312718.548,327417.484,342810.063,355878.87,369464.146369686,383623.281086838,397927.326285738,411429.290372448,424219.515544683,436477.513217675,449270.556495772,462504.903139867,477883.572524457,494510.107858405,512265.357522229,530470.186229686,550074.547707033,571889.602394662,593550.92632043,619129.702183592,646048.694896778
"NORTHERN AMERICA",905,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355878.87,367838.666792912,379959.998854284,391377.135220837,402038.165283145,411495.665045149,419675.882931607,427481.228170826,435250.975553685,443231.412195536,451635.228223501,459253.715619354,469212.623960527,477162.657011812,485741.163084504,495272.892494799,504329.678098631,513121.88851474
"NORTHERN AMERICA",905,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355878.87,371211.010443726,387271.665674875,404092.37485513,420290.808450045,436640.262528183,452487.981169622,470210.486398391,489804.803215307,512490.294995792,537253.55008563,564826.789814064,594615.159109297,626364.459059672,664042.387633974,704138.032258225,748964.681968573,797865.395485164
"EUROPE",908,"median",549212.585,576944.288,605750.306,635140.4,657138.269,677374.577,693959.237,707964.164,721415.901,727786.305,726890.991,729955.726,736812.354,740460.082,742995.115961464,742587.487588714,740556.194919936,737178.053751096,733432.808484392,730053.55180687,727235.47505473,724866.424516462,722844.230574523,721825.154921589,723183.128646252,728150.025338217,736840.442327822,748541.783556647,763052.198945816,780787.858057309,801157.773307359
"EUROPE",908,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740460.082,741177.755451708,738663.938259096,734474.364525582,728739.517386298,722577.98689262,715963.062792864,709662.76180064,702636.495037143,695085.594258144,689376.770585168,685067.128000458,683118.535564154,683755.160719297,687231.971537852,692983.135332196,698484.218246128,706329.21534649
"EUROPE",908,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740460.082,744809.717454803,746190.94178852,746428.098562612,745153.865663359,744272.263228449,744699.398060557,745892.35024026,748213.506828352,751658.700735253,756405.554496802,764110.194745652,777183.602656227,793934.041802973,816158.427296285,839785.724731669,871047.872983523,906505.584487732
"ASIA",935,"median",1404061.56,1546143.242,1700462.746,1891228.714,2137828.332,2394338.005,2642488.981,2915953.399,3221341.76,3489306.249,3730370.702,3964342.713,4194425.235,4419897.603,4625004.71734033,4801560.35389972,4950381.33720334,5073231.38395969,5174485.45447939,5248059.46796631,5297963.94230472,5331648.45016552,5349154.75158784,5358095.7395124,5354734.62914326,5354226.77350503,5356788.61306083,5369366.7187258,5381597.03361845,5413897.53622801,5456237.98942439
"ASIA",935,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419897.603,4599524.67453065,4746877.71340657,4864546.17816907,4955421.78365018,5012947.12652125,5042556.13221541,5049857.03824114,5023875.27173322,4988272.60375497,4933167.38473484,4870009.72825094,4796525.14672714,4724247.19499358,4641418.36214796,4570458.07480696,4499448.74637003,4449403.79604289
"ASIA",935,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419897.603,4650723.8610071,4857769.91446498,5044189.7323176,5203676.5627194,5343374.77726522,5469410.07121231,5583123.34181159,5687893.13631219,5779366.13235267,5868011.62937967,5950981.56731303,6049152.21134845,6180332.71714714,6288294.16654657,6443979.9714542,6615560.69822417,6841825.07577563
